,Date,Close
0,2014-01-02,556.0
1,2014-01-03,551.95
2,2014-01-04,
3,2014-01-05,
4,2014-01-06,558.1
5,2014-01-07,568.86
6,2014-01-08,570.04
7,2014-01-09,564.55
8,2014-01-10,564.52
9,2014-01-11,
10,2014-01-12,
11,2014-01-13,560.93
12,2014-01-14,574.13
13,2014-01-15,573.74
14,2014-01-16,577.53
15,2014-01-17,574.69
16,2014-01-18,
17,2014-01-19,
18,2014-01-20,
19,2014-01-21,581.27
20,2014-01-22,581.93
21,2014-01-23,579.47
22,2014-01-24,561.35
23,2014-01-25,
24,2014-01-26,
25,2014-01-27,550.06
26,2014-01-28,560.94
27,2014-01-29,552.91
28,2014-01-30,567.13
29,2014-01-31,589.89
30,2014-02-01,
31,2014-02-02,
32,2014-02-03,566.15
33,2014-02-04,568.51
34,2014-02-05,571.03
35,2014-02-06,579.4
36,2014-02-07,588.13
37,2014-02-08,
38,2014-02-09,
39,2014-02-10,585.88
40,2014-02-11,594.49
41,2014-02-12,592.75
42,2014-02-13,599.35
43,2014-02-14,600.8
44,2014-02-15,
45,2014-02-16,
46,2014-02-17,
47,2014-02-18,604.83
48,2014-02-19,600.57
49,2014-02-20,601.45
50,2014-02-21,601.29
51,2014-02-22,
52,2014-02-23,
53,2014-02-24,605.65
54,2014-02-25,609.39
55,2014-02-26,609.47
56,2014-02-27,609.0
57,2014-02-28,607.22
58,2014-03-01,
59,2014-03-02,
60,2014-03-03,600.74
61,2014-03-04,606.85
62,2014-03-05,608.52
63,2014-03-06,609.2
64,2014-03-07,606.79
65,2014-03-08,
66,2014-03-09,
67,2014-03-10,605.18
68,2014-03-11,599.4
69,2014-03-12,603.05
70,2014-03-13,593.94
71,2014-03-14,585.81
72,2014-03-15,
73,2014-03-16,
74,2014-03-17,595.45
75,2014-03-18,605.02
76,2014-03-19,599.03
77,2014-03-20,597.98
78,2014-03-21,590.93
79,2014-03-22,
80,2014-03-23,
81,2014-03-24,578.39
82,2014-03-25,578.78
83,2014-03-26,565.42
84,2014-03-27,556.58
85,2014-03-28,559.51
86,2014-03-29,
87,2014-03-30,
88,2014-03-31,556.7
89,2014-04-01,566.88
90,2014-04-02,566.98
91,2014-04-03,569.74
92,2014-04-04,543.14
93,2014-04-05,
94,2014-04-06,
95,2014-04-07,538.15
96,2014-04-08,554.9
97,2014-04-09,564.14
98,2014-04-10,540.95
99,2014-04-11,530.6
100,2014-04-12,
101,2014-04-13,
102,2014-04-14,532.52
103,2014-04-15,536.44
104,2014-04-16,556.54
105,2014-04-17,536.1
106,2014-04-18,
107,2014-04-19,
108,2014-04-20,
109,2014-04-21,528.62
110,2014-04-22,534.81
111,2014-04-23,526.94
112,2014-04-24,525.16
113,2014-04-25,516.18
114,2014-04-26,
115,2014-04-27,
116,2014-04-28,517.15
117,2014-04-29,527.7
118,2014-04-30,526.66
119,2014-05-01,531.35
120,2014-05-02,527.93
121,2014-05-03,
122,2014-05-04,
123,2014-05-05,527.81
124,2014-05-06,515.14
125,2014-05-07,509.96
126,2014-05-08,511.0
127,2014-05-09,518.73
128,2014-05-10,
129,2014-05-11,
130,2014-05-12,529.92
131,2014-05-13,533.09
132,2014-05-14,526.65
133,2014-05-15,519.98
134,2014-05-16,520.63
135,2014-05-17,
136,2014-05-18,
137,2014-05-19,528.86
138,2014-05-20,529.77
139,2014-05-21,538.94
140,2014-05-22,545.06
141,2014-05-23,552.7
142,2014-05-24,
143,2014-05-25,
144,2014-05-26,
145,2014-05-27,565.95
146,2014-05-28,561.68
147,2014-05-29,560.08
148,2014-05-30,559.89
149,2014-05-31,
150,2014-06-01,
151,2014-06-02,553.93
152,2014-06-03,544.94
153,2014-06-04,544.66
154,2014-06-05,553.9
155,2014-06-06,556.33
156,2014-06-07,
157,2014-06-08,
158,2014-06-09,562.12
159,2014-06-10,560.55
160,2014-06-11,558.84
161,2014-06-12,551.35
162,2014-06-13,551.76
163,2014-06-14,
164,2014-06-15,
165,2014-06-16,544.28
166,2014-06-17,543.01
167,2014-06-18,553.37
168,2014-06-19,554.9
169,2014-06-20,556.36
170,2014-06-21,
171,2014-06-22,
172,2014-06-23,564.95
173,2014-06-24,564.62
174,2014-06-25,578.65
175,2014-06-26,576.0
176,2014-06-27,577.24
177,2014-06-28,
178,2014-06-29,
179,2014-06-30,575.28
180,2014-07-01,582.67
181,2014-07-02,582.34
182,2014-07-03,584.73
183,2014-07-04,
184,2014-07-05,
185,2014-07-06,
186,2014-07-07,582.25
187,2014-07-08,571.09
188,2014-07-09,576.08
189,2014-07-10,571.1
190,2014-07-11,579.18
191,2014-07-12,
192,2014-07-13,
193,2014-07-14,584.87
194,2014-07-15,584.78
195,2014-07-16,582.66
196,2014-07-17,573.73
197,2014-07-18,595.08
198,2014-07-19,
199,2014-07-20,
200,2014-07-21,589.47
201,2014-07-22,594.74
202,2014-07-23,595.98
203,2014-07-24,593.35
204,2014-07-25,589.02
205,2014-07-26,
206,2014-07-27,
207,2014-07-28,590.6
208,2014-07-29,585.61
209,2014-07-30,587.42
210,2014-07-31,571.6
211,2014-08-01,566.07
212,2014-08-02,
213,2014-08-03,
214,2014-08-04,573.15
215,2014-08-05,565.07
216,2014-08-06,566.37
217,2014-08-07,563.36
218,2014-08-08,568.77
219,2014-08-09,
220,2014-08-10,
221,2014-08-11,567.88
222,2014-08-12,562.73
223,2014-08-13,574.78
224,2014-08-14,574.65
225,2014-08-15,573.48
226,2014-08-16,
227,2014-08-17,
228,2014-08-18,582.16
229,2014-08-19,586.86
230,2014-08-20,584.49
231,2014-08-21,583.37
232,2014-08-22,582.56
233,2014-08-23,
234,2014-08-24,
235,2014-08-25,580.2
236,2014-08-26,577.86
237,2014-08-27,571.0
238,2014-08-28,569.2
239,2014-08-29,571.6
240,2014-08-30,
241,2014-08-31,
242,2014-09-01,
243,2014-09-02,577.33
244,2014-09-03,577.94
245,2014-09-04,581.98
246,2014-09-05,586.08
247,2014-09-06,
248,2014-09-07,
249,2014-09-08,589.72
250,2014-09-09,581.01
251,2014-09-10,583.1
252,2014-09-11,581.35
