ds,y,y_lag_12
1993-01-01,153221,146376.0
1993-02-01,150087,147079.0
1993-03-01,170439,159336.0
1993-04-01,176456,163669.0
1993-05-01,182231,170068.0
1993-06-01,181535,168663.0
1993-07-01,183682,169890.0
1993-08-01,183318,170364.0
1993-09-01,177406,164617.0
1993-10-01,182737,173655.0
1993-11-01,187443,171547.0
1993-12-01,224540,208838.0
1994-01-01,161349,153221.0
1994-02-01,162841,150087.0
1994-03-01,192319,170439.0
1994-04-01,189569,176456.0
1994-05-01,194927,182231.0
1994-06-01,197946,181535.0
1994-07-01,193355,183682.0
1994-08-01,202388,183318.0
1994-09-01,193954,177406.0
1994-10-01,197956,182737.0
1994-11-01,202520,187443.0
1994-12-01,241111,224540.0
1995-01-01,175344,161349.0
1995-02-01,172138,162841.0
1995-03-01,201279,192319.0
1995-04-01,196039,189569.0
1995-05-01,210478,194927.0
1995-06-01,211844,197946.0
1995-07-01,203411,193355.0
1995-08-01,214248,202388.0
1995-09-01,202122,193954.0
1995-10-01,204044,197956.0
1995-11-01,212190,202520.0
1995-12-01,247491,241111.0
1996-01-01,185019,175344.0
1996-02-01,192380,172138.0
1996-03-01,212110,201279.0
1996-04-01,211718,196039.0
1996-05-01,226936,210478.0
1996-06-01,217511,211844.0
1996-07-01,218111,203411.0
1996-08-01,226062,214248.0
1996-09-01,209250,202122.0
1996-10-01,222663,204044.0
1996-11-01,223953,212190.0
1996-12-01,258081,247491.0
1997-01-01,200389,185019.0
1997-02-01,197556,192380.0
1997-03-01,225133,212110.0
1997-04-01,220329,211718.0
1997-05-01,234190,226936.0
1997-06-01,227365,217511.0
1997-07-01,231521,218111.0
1997-08-01,235252,226062.0
1997-09-01,222807,209250.0
1997-10-01,232251,222663.0
1997-11-01,228284,223953.0
1997-12-01,271054,258081.0
1998-01-01,207853,200389.0
1998-02-01,203863,197556.0
1998-03-01,230313,225133.0
1998-04-01,234503,220329.0
1998-05-01,245027,234190.0
1998-06-01,244067,227365.0
1998-07-01,241431,231521.0
1998-08-01,240462,235252.0
1998-09-01,231243,222807.0
1998-10-01,244234,232251.0
1998-11-01,240991,228284.0
1998-12-01,288969,271054.0
1999-01-01,218126,207853.0
1999-02-01,220650,203863.0
1999-03-01,253550,230313.0
1999-04-01,250783,234503.0
1999-05-01,262113,245027.0
